antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'proto_arp'}),"frozenset({'state_INT', 'attack_Normal', 'service_-'})",0.017695445233246888,0.03507523194711792,0.017138400787289485,0.9685204616998951,27.61266021448155,1.0,0.01651772894132583,30.652443465146625,0.9811465531075678,0.4809796769150599,0.9673761734154391,0.7285693891347543
frozenset({'proto_arp'}),"frozenset({'state_INT', 'attack_Normal'})",0.017695445233246888,0.03523615589817228,0.017138400787289485,0.9685204616998951,27.4865528606125,1.0,0.016514881320363228,30.647331447634798,0.9809774055509068,0.47881722289469136,0.9673707317157894,0.7274536262478046
"frozenset({'proto_arp', 'service_-'})","frozenset({'state_INT', 'attack_Normal'})",0.017695445233246888,0.03523615589817228,0.017138400787289485,0.9685204616998951,27.4865528606125,1.0,0.016514881320363228,30.647331447634798,0.9809774055509068,0.47881722289469136,0.9673707317157894,0.7274536262478046
"frozenset({'state_CON', 'proto_udp'})","frozenset({'service_dns', 'attack_Normal'})",0.0700328656223115,0.04637704481732037,0.04621612086626601,0.6599204595669464,14.229463351241536,1.0,0.042968203518614696,2.8041173955020833,0.9997377826081612,0.6584075478352878,0.643381549715415,0.8282252771610257
frozenset({'state_CON'}),"frozenset({'service_dns', 'proto_udp', 'attack_Normal'})",0.0811861333069253,0.04637704481732037,0.04621612086626601,0.5692612640085386,12.274634277601436,1.0,0.04245094792334579,2.2139243014391523,0.9996923325774758,0.5681351289659895,0.5483133730679255,0.7828956793818217
frozenset({'state_CON'}),"frozenset({'service_dns', 'attack_Normal'})",0.0811861333069253,0.04637704481732037,0.04621612086626601,0.5692612640085386,12.274634277601436,1.0,0.04245094792334579,2.2139243014391523,0.9996923325774758,0.5681351289659895,0.5483133730679255,0.7828956793818217
"frozenset({'state_CON', 'service_dns'})","frozenset({'proto_udp', 'attack_Normal'})",0.04698979370787351,0.08615001825867906,0.04621612086626601,0.9835353003161224,11.416541983344704,1.0,0.04216794928036115,55.50359249104127,0.9573956254518855,0.5316861293078896,0.981983148205021,0.7599981264853836
frozenset({'proto_unas'}),"frozenset({'attack_DoS', 'state_INT', 'service_-'})",0.07479250094388086,0.030488899342068616,0.02525268155006901,0.33763654419066536,11.074081107440769,1.0,0.022972340517249456,1.4637146602136986,0.9832378735964861,0.31554524361948955,0.31680673345582083,0.5829473829357712
frozenset({'proto_unas'}),"frozenset({'attack_DoS', 'state_INT'})",0.07479250094388086,0.03084169415784164,0.02525268155006901,0.33763654419066536,10.947405887066672,1.0,0.022945954110657755,1.4631820299596003,0.9821085104700082,0.31416031416031415,0.316558036167509,0.5782102046660731
"frozenset({'service_-', 'proto_unas'})","frozenset({'attack_DoS', 'state_INT'})",0.07479250094388086,0.03084169415784164,0.02525268155006901,0.33763654419066536,10.947405887066672,1.0,0.022945954110657755,1.4631820299596003,0.9821085104700082,0.31416031416031415,0.316558036167509,0.5782102046660731
frozenset({'proto_unas'}),"frozenset({'state_INT', 'service_-', 'attack_Exploits'})",0.07479250094388086,0.04171025023674389,0.03267994082950108,0.4369414101290964,10.475636268040912,1.0,0.029560326899299903,1.701936116422573,0.9776622060398478,0.38986930517610574,0.41243388024341665,0.6102202227971495
frozenset({'proto_unas'}),"frozenset({'state_INT', 'attack_Exploits'})",0.07479250094388086,0.042211590238105556,0.03267994082950108,0.4369414101290964,10.351218887144826,1.0,0.029522830426774855,1.7010457295065746,0.9764220680612512,0.3875513799177922,0.4121263275561252,0.6055674792580965
"frozenset({'service_-', 'proto_unas'})","frozenset({'state_INT', 'attack_Exploits'})",0.07479250094388086,0.042211590238105556,0.03267994082950108,0.4369414101290964,10.351218887144826,1.0,0.029522830426774855,1.7010457295065746,0.9764220680612512,0.3875513799177922,0.4121263275561252,0.6055674792580965
frozenset({'state_CON'}),"frozenset({'proto_udp', 'attack_Normal'})",0.0811861333069253,0.08615001825867906,0.06802131623413198,0.8378440192117101,9.725407331846998,1.0,0.06102712936738881,5.635623042078476,0.9764508087973666,0.684905895550293,0.8225573299467542,0.8137061176595946
"frozenset({'state_INT', 'proto_unas'})","frozenset({'attack_DoS', 'service_-'})",0.07479250094388086,0.03696299368064023,0.02525268155006901,0.33763654419066536,9.134448013270802,1.0,0.022488126810321064,1.4539404278314771,0.9625130695562076,0.2919290211791643,0.31221391134196624,0.5104123779225263
frozenset({'proto_unas'}),"frozenset({'attack_DoS', 'service_-'})",0.07479250094388086,0.03696299368064023,0.02525268155006901,0.33763654419066536,9.134448013270802,1.0,0.022488126810321064,1.4539404278314771,0.9625130695562076,0.2919290211791643,0.31221391134196624,0.5104123779225263
frozenset({'proto_ospf'}),"frozenset({'state_INT', 'service_-', 'attack_Exploits'})",0.016061448191771834,0.04171025023674389,0.005434278039451125,0.33834296724470136,8.111746281172973,1.0,0.004764351016207824,1.448317938634624,0.8910332671583489,0.10383159886471144,0.3095438692537827,0.23431467994227945
frozenset({'proto_ospf'}),"frozenset({'state_INT', 'attack_Exploits'})",0.016061448191771834,0.042211590238105556,0.005434278039451125,0.33834296724470136,8.01540442651388,1.0,0.0047562987697494915,1.4475602349051346,0.889527328690481,0.10284643317324586,0.30918246033089275,0.23354098508862633
"frozenset({'proto_ospf', 'service_-'})","frozenset({'state_INT', 'attack_Exploits'})",0.016061448191771834,0.042211590238105556,0.005434278039451125,0.33834296724470136,8.01540442651388,1.0,0.0047562987697494915,1.4475602349051346,0.889527328690481,0.10284643317324586,0.30918246033089275,0.23354098508862633
